Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
distaff	3	0.11027538834527151	2	1.0	3	304
cognisance	6	0.15147364191634802	2	0.5834111537202161	1	89
shift	38	0.26406530229217495	8	0.4563358611473117	23	2794
prowess	3	0.10127452852176078	2	0.5352136016311935	1	113
marketer	3	0.16315349910030186	2	0.5180986824116657	1	521
accompany	38	0.34674724494421755	10	0.47923693315005306	4	2100
incised	3	0.005113190205679315	2	1.0	4	977
limit	86	0.3265815038764582	16	0.4541885704499357	9	3229
signature	12	0.27475452208673146	4	0.5321722430274686	5	9728
cave	12	0.2242322611128407	4	0.4972001080972174	3	222
disagreement	6	0.10081436300668624	2	0.5794132087772158	3	542
longitudinal	3	0.1472363322331646	2	0.5453834265022187	3	1296
figure	101	0.2936030590588582	19	0.44054730065091185	18	8814
bevin	6	0.103736269498849	2	0.44560111147002246	1	2100
circular	22	0.3109184262815814	5	0.43593020027277624	3	7786
externality	3	0.053790981496597036	2	1.0	1	118
heritage	13	0.2750280622995286	5	0.4499403746090661	4	91
absence	20	0.19253062205172036	5	0.4720198359570171	4	80
parisian	3	0.20780509370573527	2	0.6268582597873252	2	80
mutter	4	0.13666930070064714	2	0.6307984046815429	4	49
valued	4	0.1943228407734274	2	0.51941807034031	7	57
recreate	3	0.19060338038951288	2	0.580611138455173	4	382
lean	26	0.2347409660484516	8	0.4801620428919552	10	448
domestic	29	0.28931924937637515	8	0.4404140809878244	6	148362
divided	5	0.15552294938778582	3	0.5669121379438093	9	291
administer	4	0.24696347089806825	2	0.44172199903360265	5	2118
pump	13	0.24638766068546156	4	0.5940291364476129	11	58
portfolio	6	0.13549935842613023	2	0.6420621220865971	4	7574
children	6	0.22544769362876452	2	0.545368407293128	4	303
wells	4	0.17867972808797847	2	0.542428236558912	7	35
freeze	12	0.2346177251903424	4	0.6320484478446272	14	6489
game	57	0.2853952566074033	15	0.36743973207696573	14	142058
acclaim	3	0.15689029349596706	2	0.5467770577522875	3	3771
acquisition	15	0.23684455566691762	3	0.5499319351143483	4	10783
stable	11	0.29103279276686334	4	0.454832126805774	7	2286
deficit	25	0.16507377182594823	8	0.41357619330368167	4	1250
textile	4	0.22109269592408476	2	0.6211481208646019	2	9638
freely	6	0.2701672593449491	2	0.5347579569162179	1	26267
rational	10	0.20981543318979665	3	0.4933562293463597	5	4096
optimist	5	0.11714916966863127	3	0.7305428834484344	1	473
guinness	6	0.17613989419636913	3	0.4647155737227191	2	18041
habitat	6	0.15685106189208406	3	0.5665112636189357	1	13134
woodland	12	0.19852917493453048	3	0.5568217782820898	1	14864
bride	6	0.14275987325942524	2	0.5707877585945784	3	18556
ballet	143	0.17089759872092247	31	0.4710107192271881	2	37145
memo	3	0.10011781769163071	2	0.7468131359687892	1	2949
traditionally	7	0.2822472778011908	3	0.6000836267511659	1	14293
inflationary	8	0.1379337756038071	5	0.6632294778339805	1	94
frederick	5	0.11352220943738796	2	0.7045709721518446	1	159000
coleridge	3	0.10054265233672743	2	0.6747328337349129	1	6495
corner	33	0.24483449706054483	10	0.418525565005909	14	262
canine	3	0.18875186074288344	2	0.6052988514699796	4	1640
schoolchild	3	0.1676382777365825	2	0.4486933248714272	1	76
unity	39	0.22312390743775895	10	0.4501913072023071	3	72
document	44	0.2679188793549834	9	0.410456047578343	6	869
apology	3	0.10801174594063949	2	0.5122868095871852	3	741
odd	25	0.28837058402081317	6	0.4623652956388494	6	5845
level	140	0.29510599343419436	23	0.3935449059530932	19	799424
goldsmith	7	0.17911459772153634	3	0.587214674901517	2	3517
torch	6	0.19136785575298307	3	0.41347203818951517	5	498
oppression	3	0.10077048618885338	2	0.5750055257225071	3	743
manor	5	0.18041084601284285	3	0.6540676239777461	2	552
condition	71	0.24190591868344152	11	0.4603487726597569	13	10025
